Full Name,Block,Item /Col.,Field Length,Field Name
Panel,,,2,PANEL
File Identification,,,5,FILE_ID
Schdule,1,2,3,SCH
Quarter,,,2,QTR
Visit,,,2,VISIT
Sector,1,3,1,SEC
State/Ut Code,,,2,ST
District Code,1,4,2,DC
NSS-Region,1,4,3,NSS_REG
Stratum,1,5,2,STRM
Sub-Stratum,1,6,2,SSTRM
Sub-Sample,1,11,1,SS
Fod Sub-Region,1,12,4,SRO
FSU,1,1,5,MFSU
Sample Sg/Sb No.,1,13,1,SEG
Second Stage Stratum No.,1,14,1,SSS
Sample Household Number,1,15,2,SSU
Person Serial No.,4,1,2,SRL
Relationship To Head,4,4,1,REL
Sex,4,5,1,SEX
Age,4,6,3,AGE
Marital Status,4,7,1,MARST
General Educaion Level,4,8,2,GEDU_LVL
Technical Educaion Level,4,9,2,TEDU_LVL
No. of years in Formal Education,4,10,2,FORM_EDU
Status of Current Attendance in Educational Institution,4,11,2,CURR_ATT
Whether received any Vocational/Technical Training,4,12,1,VOC
Whether Training completed during last 365 Days,4.1,3,1,VOC_COMPL
Field Of Training,4.1,4,2,VOC_FLD
Duration Of Training,4.1,5,1,VOC_DUR
Type Of Training,4.1,6,1,VOC_TYP
Source Of Funding The Training,4.1,7,1,VOC_FUND
Status Code,5.1,3,2,PAS
Industry Code (NIC),5.1,5,5,IND_PAS
Occupation Code (NCO),5.1,6,3,OCU_PAS
Whether Engaged In Any Work In Subsidiary Capacity,5.1,7,1,HAS_SAS
(Principal)location Of Workplace Code,5.1,8,2,LOC_PAS
(Principal) Enterprise Type Code,5.1,9,2,ETYP_PAS
(Principal) No. Of Workers In The Enterprise,5.1,10,1,WRKR_PAS
(Principal)  Type Of Job Contract,5.1,11,1,JOB_PAS
(Principal) Eligble Of Paid Leave,5.1,12,1,LEAVE_PAS
(Principal) Social Security Benefits,5.1,13,1,SSEC_PAS
(Principal) Usage of product of the economic activity,5.1,14,1,ECOPRD_PAS
Status Code,5.2,3,2,SAS
Industry Code (NIC),5.2,5,5,IND_SAS
Occupation Code (NCO),5.2,6,3,OCU_SAS
(Subsidiary) location Of Workplace Code,5.2,7,2,LOC_SAS
(Subsidiary)  Enterprise Type Code,5.2,8,2,ETYP_SAS
(Subsidiary)  No. Of Workers In The Enterprise,5.2,9,1,WRKR_SAS
(Subsidiary)   Type Of Job Contract,5.2,10,1,JOB_SAS
(Subsidiary)  Eligble Of Paid Leave,5.2,11,1,LEAVE_SAS
(Subsidiary)  Social Security Benefits,5.2,12,1,SSEC_SAS
(Subsidiary) Usage of product of the economic activity,5.2,13,1,ECOPRD_SAS
Ever Worked Prior to last 365 days,5.3,5,1,WRK_365
Duration of engagement in the economic activity in usual Principal Activity Status,5.3,6,1,DUR_PAS
Duration of engagement in the economic activity in Subsidiary Activity Status,5.3,7,1,DUR_SAS
Efforts undertaken to search work,5.3,8,1,EFF_PAS
Duration of spell of Unemployment,5.3,9,1,DUR_UNP
Whether Ever Worked ,5.3,10,1,EVR_WRK
Reason for not working in last 365 days,5.3,11,2,REA_NW
Main reason for being in Principal activity status (91 to 97) ,5.3,12,1,REA
Status Code for activity 1,6,4/3.1,2,DAS17
Industry Code (NIC) for activity 1,6,5/3.1,2,IND17
hours actuallly worked for activity 1 on 7 th day,6,6/3.1,2,HR17
wage earning for activity 1 on 7 th day,6,9/3.1,5,ERN17
Status Code for activity 2,6,4/3.1,2,DAS27
Industry Code (NIC) for activity 2,6,5/3.1,2,IND27
hours actuallly worked for activity 2 on 7 th day,6,6/3.1,2,HR27
wage earning for activity 2 on 7 th day,6,9/3.1,5,ERN27
total hours actually worked on 7th day,6,7/3.1,2,HR7
hours available for aditional worked on 7th day,6,8/3.1,2,AHR7
Status Code for activity 1,6,4/3.2,2,DAS16
Industry Code (NIC) for activity 1,6,5/3.2,2,IND16
hours actuallly worked for activity 1 on 6 th day,6,6/3.2,2,HR16
wage earning for activity 1 on 7 th day,6,9/3.2,5,ERN16
Status Code for activity 2,6,4/3.2,2,DAS26
Industry Code (NIC) for activity 2,6,5/3.2,2,IND26
hours actuallly worked for activity 2 on 6 th day,6,6/3.2,2,HR26
wage earning for activity 2 on 6 th day,6,9/3.2,5,ERN26
total hours actually worked on 6th day,6,7/3.2,2,HR6
hours available for aditional worked on 6th day,6,8/3.2,2,AHR6
Status Code for activity 1,6,4/3.3,2,DAS15
Industry Code (NIC) for activity 1,6,5/3.3,2,IND15
hours actuallly worked for activity 1 on5 th day,6,6/3.3,2,HR15
wage earning for activity 1 on 5 th day,6,9/3.3,5,ERN15
Status Code for activity 2,6,4/3.3,2,DAS25
Industry Code (NIC) for activity 2,6,5/3.3,2,IND25
hours actuallly worked for activity 2 on 5 th day,6,6/3.3,2,HR25
wage earning for activity 2 on 5 th day,6,9/3.3,5,ERN25
total hours actually worked on 5th day,6,7/3.3,2,HR5
hours available for aditional worked on 5th day,6,8/3.3,2,AHR5
Status Code for activity 1,6,4/3.4,2,DAS14
Industry Code (NIC) for activity 1,6,5/3.4,2,IND14
hours actuallly worked for activity 1 on 4th day,6,6/3.4,2,HR14
wage earning for activity 1 on 4th day,6,9/3.4,5,ERN14
Status Code for activity 2,6,4/3.4,2,DAS24
Industry Code (NIC) for activity 2,6,5/3.4,2,IND24
hours actuallly worked for activity 2 on 4th day,6,6/3.4,2,HR24
wage earning for activity 2 on 4th day,6,9/3.4,5,ERN24
total hours actually worked on 4th day,6,7/3.4,2,HR4
hours available for aditional worked on 4th day,6,8/3.4,2,AHR4
Status Code for activity 1,6,4/3.5,2,DAS13
Industry Code (NIC) for activity 1,6,5/3.5,2,IND13
hours actuallly worked for activity 1 on 3rd day,6,6/3.5,2,HR13
wage earning for activity 1 on 3rd day,6,9/3.5,5,ERN13
Status Code for activity 2,6,4/3.5,2,DAS23
Industry Code (NIC) for activity 2,6,5/3.5,2,IND23
hours actuallly worked for activity 2 on 3rd day,6,6/3.5,2,HR23
wage earning for activity 2 on 3 rd day,6,9/3.5,5,ERN23
total hours actually worked on 3rd day,6,7/3.5,2,HR3
hours available for aditional worked on 3rd day,6,8/3.5,2,AHR3
Status Code for activity 1,6,4/3.6,2,DAS12
Industry Code (NIC) for activity 1,6,5/3.6,2,IND12
hours actuallly worked for activity 1 on 2nd day,6,6/3.6,2,HR12
wage earning for activity 1 on 2nd day,6,9/3.6,5,ERN12
Status Code for activity 2,6,4/3.6,2,DAS22
Industry Code (NIC) for activity 2,6,5/3.6,2,IND22
hours actuallly worked for activity 2 on 2nd day,6,6/3.6,2,HR22
wage earning for activity 2 on 2nd day,6,9/3.6,5,ERN22
total hours actually worked on 2nd day,6,7/3.6,2,HR2
hours available for aditional worked on 2nd day,6,8/3.6,2,AHR2
Status Code for activity 1,6,4/3.7,2,DAS11
Industry Code (NIC) for activity 1,6,5/3.7,2,IND11
hours actuallly worked for activity 1 on 1st day,6,6/3.7,2,HR11
wage earning for activity 1 on 1st day,6,9/3.7,5,ERN11
Status Code for activity 2,6,4/3.7,2,DAS21
Industry Code (NIC) for activity 2,6,5/3.7,2,IND21
hours actuallly worked for activity 2 on 1st day,6,6/3.7,2,HR21
wage earning for activity 2 on 1st day,6,9/3.7,5,ERN21
total hours actually worked on 1st day,6,7/3.7,2,HR1
hours available for aditional worked on 1st day,6,8/3.7,2,AHR1
Current Weekly Status (CWS),6,5,2,ACWS
Industry Code (CWS),6,6,2,AIND_CWS
Occupation Code (CWS),6,7,3,OCU_CWS
Earnings For Regular Salaried/Wage Activity,6,9,8,ERN_REG
Earnings For Self Employed,6,10,8,ERN_SELF
Ns count for sector x stratum x substratum x sub-sample,Generated,,3,NSS
Ns count for sector x stratum x substratum,Generated,,3,NSC
Sub-sample wise Multiplier,Generated,,10,MULT
count of contributing samples for State x Sector x Stratum x Sub-Stratum in 4 Quarters,Generated,,1,NO_QTR
